"Live births: Länder, years, sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live births (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder
Sex",,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
,Total,"62,026",e,"61,324",e,"61,146",e,"61,610",e,"60,565",e,"59,858",e,"62,391",e,"63,124",e,"60,567",e,"58,996",e,"58,817",e,"56,228",e,"55,324",e,"54,400",e,"54,332",e,"53,369",e,"51,404",e,"52,616",e,"51,752",e,"50,744",e,"51,742",e,"51,479",e,"51,607",e,"52,185",e,"54,631",e,"56,889",e,"60,731",e,"60,988",e,"61,012",e,"60,062",e,"59,389",e,"61,546",e,"57,360",e,"53,685",e,"53,089",e,"51,742",p
Mecklenburg-Vorpommern,Male,"11,951",e,"6,927",e,"5,567",e,"4,905",e,"4,622",e,"5,086",e,"5,733",e,"6,264",e,"6,212",e,"6,466",e,"6,825",e,"6,644",e,"6,433",e,"6,502",e,"6,664",e,"6,244",e,"6,470",e,"6,561",e,"6,637",e,"6,558",e,"6,803",e,"6,494",e,"6,491",e,"6,427",e,"6,545",e,"6,761",e,"6,832",e,"6,669",e,"6,682",e,"6,494",e,"6,256",e,"6,036",e,"5,547",e,"5,053",e,"4,706",e,"4,277",p
,Female,"11,552",e,"6,708",e,"5,308",e,"4,527",e,"4,312",e,"4,792",e,"5,355",e,"5,782",e,"6,034",e,"6,123",e,"6,494",e,"6,324",e,"6,071",e,"6,280",e,"6,381",e,"6,113",e,"6,168",e,"6,225",e,"6,461",e,"6,456",e,"6,534",e,"6,144",e,"6,224",e,"6,133",e,"6,285",e,"6,537",e,"6,610",e,"6,412",e,"6,350",e,"6,136",e,"5,805",e,"5,809",e,"5,273",e,"4,618",e,"4,451",e,"4,113",p
,Total,"23,503",e,"13,635",e,"10,875",e,"9,432",e,"8,934",e,"9,878",e,"11,088",e,"12,046",e,"12,246",e,"12,589",e,"13,319",e,"12,968",e,"12,504",e,"12,782",e,"13,045",e,"12,357",e,"12,638",e,"12,786",e,"13,098",e,"13,014",e,"13,337",e,"12,638",e,"12,715",e,"12,560",e,"12,830",e,"13,298",e,"13,442",e,"13,081",e,"13,032",e,"12,630",e,"12,061",e,"11,845",e,"10,820",e,"9,671",e,"9,157",e,"8,387",p
Niedersachsen,Male,"42,505",e,"42,795",e,"42,746",e,"43,430",e,"41,926",e,"41,511",e,"43,132",e,"43,866",e,"42,246",e,"41,429",e,"40,943",e,"38,461",e,"37,444",e,"36,105",e,"35,914",e,"34,281",e,"33,656",e,"33,689",e,"33,209",e,"32,075",e,"32,469",e,"31,440",e,"31,562",e,"32,179",e,"34,277",e,"34,710",e,"38,471",e,"37,205",e,"37,922",e,"37,525",e,"38,075",e,"39,348",e,"36,559",e,"34,266",e,"33,658",e,"32,665",p
,Female,"39,947",e,"40,327",e,"40,923",e,"41,149",e,"39,594",e,"39,483",e,"40,523",e,"42,041",e,"39,961",e,"39,054",e,"38,493",e,"36,778",e,"35,749",e,"34,458",e,"34,457",e,"32,712",e,"31,671",e,"31,637",e,"31,678",e,"30,153",e,"30,661",e,"29,840",e,"29,916",e,"30,700",e,"32,129",e,"32,473",e,"36,744",e,"35,815",e,"35,730",e,"35,761",e,"36,044",e,"37,093",e,"34,730",e,"32,896",e,"31,988",e,"30,747",p
,Total,"82,452",e,"83,122",e,"83,669",e,"84,579",e,"81,520",e,"80,994",e,"83,655",e,"85,907",e,"82,207",e,"80,483",e,"79,436",e,"75,239",e,"73,193",e,"70,563",e,"70,371",e,"66,993",e,"65,327",e,"65,326",e,"64,887",e,"62,228",e,"63,130",e,"61,280",e,"61,478",e,"62,879",e,"66,406",e,"67,183",e,"75,215",e,"73,020",e,"73,652",e,"73,286",e,"74,119",e,"76,441",e,"71,289",e,"67,162",e,"65,646",e,"63,410",p
Nordrhein-Westfalen,Male,"102,383",e,"101,686",e,"101,288",e,"99,456",e,"95,599",e,"93,399",e,"96,625",e,"97,900",e,"93,731",e,"90,504",e,"90,030",e,"86,250",e,"84,012",e,"82,242",e,"81,168",e,"79,082",e,"76,863",e,"77,579",e,"77,027",e,"74,225",e,"75,642",e,"73,255",e,"74,607",e,"75,384",e,"79,549",e,"82,428",e,"88,627",e,"88,663",e,"88,953",e,"87,508",e,"87,540",e,"90,228",e,"84,455",e,"79,714",e,"78,434",e,"76,258",p
,Female,"96,911",e,"96,750",e,"95,611",e,"94,700",e,"90,480",e,"88,994",e,"91,868",e,"92,486",e,"88,556",e,"86,074",e,"85,114",e,"81,502",e,"79,422",e,"77,641",e,"76,886",e,"74,290",e,"73,062",e,"73,589",e,"72,980",e,"70,804",e,"71,691",e,"69,842",e,"71,148",e,"71,033",e,"75,553",e,"78,040",e,"84,647",e,"83,316",e,"84,197",e,"82,883",e,"82,498",e,"85,158",e,"80,041",e,"75,801",e,"74,254",e,"71,703",p
,Total,"199,294",e,"198,436",e,"196,899",e,"194,156",e,"186,079",e,"182,393",e,"188,493",e,"190,386",e,"182,287",e,"176,578",e,"175,144",e,"167,752",e,"163,434",e,"159,883",e,"158,054",e,"153,372",e,"149,925",e,"151,168",e,"150,007",e,"145,029",e,"147,333",e,"143,097",e,"145,755",e,"146,417",e,"155,102",e,"160,468",e,"173,274",e,"171,979",e,"173,150",e,"170,391",e,"170,038",e,"175,386",e,"164,496",e,"155,515",e,"152,688",e,"147,962",p
