city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Konstanz,Konstanz,47.6633,9.1753,Germany,DE,DEU,Baden-Württemberg,,85770,1276601373
Worms,Worms,49.6303,8.3621,Germany,DE,DEU,Rhineland-Palatinate,minor,85609,1276944683
Marl,Marl,51.6667,7.1167,Germany,DE,DEU,North Rhine-Westphalia,,85001,1276451667
Minden,Minden,52.2883,8.9167,Germany,DE,DEU,North Rhine-Westphalia,minor,83100,1276191164
Norderstedt,Norderstedt,53.7064,10.0103,Germany,DE,DEU,Schleswig-Holstein,,82719,1276872953
Velbert,Velbert,51.34,7.0416,Germany,DE,DEU,North Rhine-Westphalia,,82462,1276896645
Bamberg,Bamberg,49.8917,10.8917,Germany,DE,DEU,Bavaria,minor,80580,1276824274
Neumünster,Neumunster,54.0714,9.99,Germany,DE,DEU,Schleswig-Holstein,minor,80185,1276757733
Mosigkau,Mosigkau,51.8333,12.2333,Germany,DE,DEU,Saxony-Anhalt,,79686,1276680755
Dessau-Rosslau,,51.8333,12.2333,Germany,DE,DEU,Saxony-Anhalt,minor,79686,1276983641
Viersen,Viersen,51.2556,6.3917,Germany,DE,DEU,North Rhine-Westphalia,minor,79250,1276629059
Delmenhorst,Delmenhorst,53.0506,8.6317,Germany,DE,DEU,Lower Saxony,minor,78979,1276098664
Marburg,Marburg,50.8167,8.7667,Germany,DE,DEU,Hesse,minor,78203,1276012023
Lüneburg,Luneburg,53.2525,10.4144,Germany,DE,DEU,Lower Saxony,minor,77511,1276001423
Rheine,Rheine,52.2833,7.4333,Germany,DE,DEU,North Rhine-Westphalia,,77209,1276882978
Dorsten,Dorsten,51.66,6.9642,Germany,DE,DEU,North Rhine-Westphalia,,76842,1276397774
Troisdorf,Troisdorf,50.8161,7.1556,Germany,DE,DEU,North Rhine-Westphalia,,76503,1276488227
Wilhelmshaven,Wilhelmshaven,53.5286,8.1056,Germany,DE,DEU,Lower Saxony,minor,76247,1276324633
Gladbeck,Gladbeck,51.5713,6.9827,Germany,DE,DEU,North Rhine-Westphalia,,75799,1276216238
Landshut,Landshut,48.5397,12.1508,Germany,DE,DEU,Bavaria,minor,75272,1276485277
Bayreuth,Bayreuth,49.9481,11.5783,Germany,DE,DEU,Bavaria,minor,74907,1276275069
Detmold,Detmold,51.9378,8.8833,Germany,DE,DEU,North Rhine-Westphalia,minor,74835,1276802316
Castrop-Rauxel,Castrop-Rauxel,51.55,7.3167,Germany,DE,DEU,North Rhine-Westphalia,,74370,1276873073
Arnsberg,Arnsberg,51.3967,8.0644,Germany,DE,DEU,North Rhine-Westphalia,,74206,1276285824
Brandenburg,Brandenburg,52.4141,12.5541,Germany,DE,DEU,Brandenburg,minor,73921,1276372220
Aschaffenburg,Aschaffenburg,49.9741,9.1494,Germany,DE,DEU,Bavaria,minor,72918,1276069907
Lippstadt,Lippstadt,51.6667,8.35,Germany,DE,DEU,North Rhine-Westphalia,,72804,1276820778
Bocholt,Bocholt,51.8333,6.6167,Germany,DE,DEU,North Rhine-Westphalia,,72409,1276001655
Lüdenscheid,Ludenscheid,51.2198,7.6273,Germany,DE,DEU,North Rhine-Westphalia,minor,71463,1276839426
Kempten,Kempten,47.7333,10.3167,Germany,DE,DEU,Bavaria,minor,70713,1276008842
Fulda,Fulda,50.5528,9.6775,Germany,DE,DEU,Hesse,minor,70366,1276669051
Celle,Celle,52.6256,10.0825,Germany,DE,DEU,Lower Saxony,minor,70293,1276282135
Aalen,Aalen,48.8372,10.0936,Germany,DE,DEU,Baden-Württemberg,minor,69147,1276757787
Dinslaken,Dinslaken,51.5667,6.7333,Germany,DE,DEU,North Rhine-Westphalia,,67949,1276055868
Rüsselsheim,Russelsheim,49.995,8.4119,Germany,DE,DEU,Hesse,,67656,1276969472
Kerpen,Kerpen,50.8719,6.6961,Germany,DE,DEU,North Rhine-Westphalia,,67627,1276675138
Herford,Herford,52.1146,8.6734,Germany,DE,DEU,North Rhine-Westphalia,minor,67265,1276588147
Neuwied,Neuwied,50.4286,7.4614,Germany,DE,DEU,Rhineland-Palatinate,minor,66243,1276935443
